Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-06,TB at COL,TB,COL,-1.5,1.5,+114,+110,+105,+105,+105,+105,+100,+110,+105,+105,+105,,-105,,,,,-137,-115,-125,-125,-125,-125,-120,-130,-127,-127,-125,,-115,,,,
2024-04-06,SD at SF,SD,SF,-1.5,1.5,+146,+168,+164,+155,+164,+165,+168,+165,+160,+160,+165,,+158,,,,,-178,-185,-198,-185,-198,-200,-205,-200,-205,-205,-200,,-190,,,,
2024-04-06,BOS at LAA,BOS,LAA,-1.5,1.5,+158,-205,+155,-205,+164,+155,+164,+160,+160,+170,+155,,-205,,,,,-192,-190,-190,+170,-198,-190,-200,-190,-225,-220,-190,,+170,,,,
2024-04-07,TOR at NYY,TOR,NYY,1.5,-1.5,-182,-145,-148,-150,-148,-145,-146,-145,-159,-159,-145,,-150,,,,,+150,+130,+125,+125,+124,+120,+122,+125,+130,+130,+120,,+126,,,,
2024-04-07,BAL at PIT,BAL,PIT,-1.5,1.5,+140,+145,+140,+140,+140,+145,+140,+140,+140,+140,+145,,+140,,,,,-170,-165,-170,-165,-166,-175,-170,-165,-175,-175,-175,,-165,,,,
2024-04-07,ARI at ATL,ARI,ATL,1.5,1.5,-113,+118,+105,+105,+105,+105,+104,+105,-109,-109,+105,,+118,,,,,-106,-400,-140,-125,-125,-400,-125,-125,-114,-114,-400,,-140,,,,
2024-04-07,PHI at WSH,PHI,WSH,-1.5,1.5,+110,+115,+110,+115,+110,+110,+104,+115,+107,+107,+110,,+105,,,,,-132,-125,-130,-135,-130,-135,-125,-135,-130,-130,-135,,-125,,,,
2024-04-07,NYM at CIN,NYM,CIN,-1.5,1.5,+146,-220,+132,-220,+136,+140,+132,+145,+140,+140,+140,,+135,,,,,-178,-160,-160,+180,-162,-165,-160,-175,-175,-175,-165,,-160,,,,
2024-04-07,ATH at DET,ATH,DET,1.5,-1.5,-156,-115,-120,-125,-120,-120,-120,-120,-129,-129,-120,,-115,,,,,+130,+106,+100,+105,+100,+100,+100,+100,+106,+106,+100,,-105,,,,
2024-04-07,SEA at MIL,SEA,MIL,1.5,-1.5,+164,-170,-180,-185,-175,-175,-170,-180,-195,-195,-175,,-178,,,,,-200,+155,+150,+155,+145,+145,+140,+150,+155,+155,+145,,+150,,,,
2024-04-07,CWS at KC,CWS,KC,1.5,-1.5,-196,-180,-190,-180,-185,-185,-192,-190,-205,-205,-185,,-190,,,,,+162,+160,+154,+150,+154,+150,+158,+160,+160,+160,+150,,+158,,,,
2024-04-07,MIA at STL,MIA,STL,1.5,-1.5,-184,-160,-170,-170,-175,-165,-176,-165,-182,-182,-165,,-160,,,,,+152,+148,+145,+145,+145,+140,+146,+140,+148,+148,+140,,+135,,,,
2024-04-07,LAD at CHC,LAD,CHC,-1.5,1.5,+130,+150,+143,+145,+150,+145,+142,+150,+130,+130,+145,,+143,,,,,-156,-157,-172,-170,-180,-175,-172,-180,-157,-157,-175,,-170,,,,
2024-04-07,TB at COL,TB,COL,-1.5,1.5,-104,+107,+100,-105,+100,+100,+102,+100,+107,+107,+100,,+100,,,,,-115,-115,-120,-115,-120,-120,-122,-120,-130,-130,-120,,-120,,,,
2024-04-07,SD at SF,SD,SF,1.5,-1.5,-146,-145,-154,-155,-155,-145,-154,-160,-155,-155,-145,,-145,,,,,+122,+135,+128,+130,+130,+120,+128,+135,+128,+128,+120,,+122,,,,
2024-04-07,BOS at LAA,BOS,LAA,-1.5,1.5,+158,+143,+140,+140,+136,+140,+140,+140,+133,+133,+140,,+143,,,,,-192,-162,-165,-165,-162,-165,-170,-165,-165,-165,-165,,-170,,,,
2024-04-07,HOU at TEX,HOU,TEX,-1.5,1.5,+134,-205,+140,-205,+142,+150,+140,+145,+148,+148,+150,,-205,,,,,-162,-170,-170,+170,-170,-185,-170,-175,-180,-180,-185,,+170,,,,
2024-04-08,CWS at CLE,CWS,CLE,1.5,-1.5,-125,+105,-105,+100,-105,+105,-105,+100,-115,-115,+105,,+100,,,,,+104,-106,-120,-120,-115,-130,-114,-120,-106,-106,-130,,-120,,,,
2024-04-08,MIA at NYY,MIA,NYY,1.5,-1.5,-164,-154,-160,-155,-155,-160,-154,-160,-177,-177,-160,,-155,,,,,+136,+143,+135,+130,+130,+135,+128,+135,+143,+143,+135,,+130,,,,
2024-04-08,DET at PIT,DET,PIT,1.5,-1.5,-194,-185,-185,-200,-198,-185,-194,-200,+170,+170,-185,,-205,,,,,+162,-220,+150,+165,+164,+150,+160,+165,-220,-220,+150,,+170,,,,
2024-04-08,MIL at CIN,MIL,CIN,-1.5,1.5,+155,-205,+143,-210,+145,+145,+150,+150,+143,+143,+145,,-205,,,,,-188,-175,-175,+175,-175,-175,-182,-180,-175,-175,-175,,+170,,,,
2024-04-08,SEA at TOR,SEA,TOR,-1.5,1.5,+164,-205,+160,-205,+160,+160,-210,+160,+170,+170,+160,,-205,,,,,-200,-192,-192,+170,-192,-210,+172,-215,-225,-225,-210,,+170,,,,
2024-04-08,NYM at ATL,NYM,ATL,1.5,1.5,-111,+105,+102,+100,+105,+100,+102,+105,-108,-108,+100,,+105,,,,,-108,-350,-125,-120,-125,-350,-122,-125,-113,-113,-350,,-125,,,,
2024-04-08,LAD at MIN,LAD,MIN,-1.5,1.5,+114,+125,+116,+115,+114,+125,+116,+115,+120,+120,+120,,+110,,,,,-137,-130,-140,-135,-135,-150,-140,-135,-148,-148,-145,,-130,,,,
2024-04-08,PHI at STL,PHI,STL,-1.5,1.5,+164,-195,+150,-205,+160,+155,+152,+160,+150,+150,+155,,-195,,,,,-200,-184,-184,+170,-192,-190,-184,-190,-186,-186,-190,,+162,,,,
2024-04-08,HOU at TEX,HOU,TEX,1.5,-1.5,+122,-165,-175,-165,-170,-175,-176,-165,-190,-190,-175,,-170,,,,,-146,+155,+145,+140,+142,+145,+146,+140,+155,+155,+145,,+143,,,,
2024-04-08,ARI at COL,ARI,COL,-1.5,1.5,-111,-115,-118,-120,-118,-120,-120,-115,-115,-115,-120,,-125,,,,,-108,+105,-102,+100,-102,+100,+100,-105,-106,-106,+100,,+105,,,,
2024-04-08,TB at LAA,TB,LAA,-1.5,1.5,+114,+115,+112,+115,+114,+115,+106,+110,+112,+112,+115,,+115,,,,,-135,-128,-135,-135,-135,-140,-128,-130,-137,-137,-140,,-135,,,,
2024-04-08,CHC at SD,CHC,SD,1.5,-1.5,-178,-178,-184,-180,-180,-185,-184,-180,-195,-195,-185,,-178,,,,,+146,+155,+150,+150,+150,+150,+152,+150,+155,+155,+150,,+150,,,,
2024-04-08,WSH at SF,WSH,SF,1.5,-1.5,-118,-110,-118,-115,-120,-110,-118,-120,-129,-129,-110,,-115,,,,,-102,+106,-102,-105,+100,-110,-102,+100,+106,+106,-110,,-105,,,,
