Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-06,PHI at WSH,PHI,WSH,0.5,+200,+100,+100,,+235,+100,-111,,-115,-115,+100,,-125,,,,,-275,-330,-125,,-330,-125,-115,,-108,-108,-125,,-105,,,,
2024-04-06,BAL at PIT,BAL,PIT,0.5,+225,-120,-110,,+195,-120,-111,,-120,-120,-120,,-110,,,,,-320,-270,-120,,-270,-110,-115,,-105,-105,-110,,-120,,,,
2024-04-06,NYM at CIN,NYM,CIN,0.5,+200,-122,-105,,+195,-125,-120,,-122,-122,-125,,-105,,,,,-280,-265,-125,,-265,+100,-106,,-103,-103,+100,,-125,,,,
2024-04-06,HOU at TEX,HOU,TEX,0.5,+180,-135,-135,,+155,-135,-156,,-143,-143,-135,,-135,,,,,-245,-215,+105,,-215,+105,+122,,+116,+116,+105,,+105,,,,
2024-04-06,TOR at NYY,TOR,NYY,0.5,+215,+120,+120,,+280,+120,+114,,+107,+107,+120,,-105,,,,,-300,-425,-150,,-425,-150,-146,,-132,-132,-150,,-125,,,,
2024-04-06,SEA at MIL,SEA,MIL,0.5,+230,-106,+104,,+210,-115,+104,,-106,-106,-115,,-120,,,,,-330,-295,-132,,-295,-110,-132,,-117,-117,-110,,-110,,,,
2024-04-06,CWS at KC,CWS,KC,0.5,+220,-120,-115,,+205,-120,-125,,-130,-130,-120,,-115,,,,,-310,-290,-115,,-290,-110,-102,,+104,+104,-110,,-115,,,,
2024-04-06,ARI at ATL,ARI,ATL,0.5,+185,-120,-120,,+215,-120,-125,,-130,-130,-120,,-130,,,,,-255,-310,-110,,-310,-110,-102,,+104,+104,-110,,+100,,,,
2024-04-06,TB at COL,TB,COL,0.5,-167,-148,-148,,+145,-155,-154,,-148,-148,-155,,,,,,,+135,-200,+118,,-200,+120,+120,,+118,+118,+120,,,,,,
2024-04-06,SD at SF,SD,SF,0.5,+235,+100,+108,,+300,+100,+108,,+100,+100,+100,,-110,,,,,-330,-450,-138,,-450,-125,-138,,-125,-125,-125,,-120,,,,
2024-04-06,BOS at LAA,BOS,LAA,0.5,+235,+110,+112,,+255,+110,+112,,-103,+106,+110,,-110,,,,,-330,-370,-142,,-370,-140,-142,,-139,-132,-140,,-120,,,,
2024-04-07,TOR at NYY,TOR,NYY,0.5,+220,+100,+100,,+240,+100,-115,,-120,-120,+100,,-120,,,,,-310,-340,-125,,-340,-125,-111,,-107,-107,-125,,-110,,,,
2024-04-07,BAL at PIT,BAL,PIT,0.5,+205,-110,-105,,+205,-110,-111,,-114,-114,-110,,-105,,,,,-290,-290,-125,,-290,-120,-115,,-109,-109,-120,,-125,,,,
2024-04-07,ARI at ATL,ARI,ATL,0.5,-128,-125,-125,,+200,-125,-128,,-143,-143,-125,,-130,,,,,+100,-280,+100,,-280,+100,+100,,+106,+106,+100,,+100,,,,
2024-04-07,PHI at WSH,PHI,WSH,0.5,-113,+110,+110,,+270,+110,+110,,+102,+102,+110,,-110,,,,,-113,-400,-140,,-400,-140,-140,,-127,-127,-140,,-120,,,,
2024-04-07,NYM at CIN,NYM,CIN,0.5,+200,-106,-106,,+225,-110,-113,,-106,-106,-110,,-120,,,,,-280,-320,-118,,-320,-115,-115,,-118,-118,-115,,-110,,,,
2024-04-07,ATH at DET,ATH,DET,0.5,+210,+100,+108,,+245,+100,+108,,-103,-103,+100,,-120,,,,,-300,-350,-138,,-350,-125,-138,,-122,-122,-125,,-110,,,,
2024-04-07,SEA at MIL,SEA,MIL,0.5,+210,-110,-110,,+215,-110,-115,,-121,-121,-110,,-120,,,,,-300,-300,-115,,-300,-115,-111,,-103,-103,-115,,-110,,,,
2024-04-07,CWS at KC,CWS,KC,0.5,-113,-105,+100,,+210,-110,-115,,-105,-105,-110,,+100,,,,,-113,-290,-130,,-290,-115,-111,,-118,-118,-115,,-130,,,,
2024-04-07,MIA at STL,MIA,STL,0.5,-106,-115,-115,,+195,-115,-120,,-129,-129,-115,,-115,,,,,-120,-270,-115,,-270,-110,-106,,+104,+104,-110,,-115,,,,
2024-04-07,LAD at CHC,LAD,CHC,0.5,-120,-105,-105,,+210,-105,-113,,-124,-124,-105,,-115,,,,,-104,-295,-120,,-295,-120,-113,,+100,+100,-120,,-115,,,,
